seed,mode,method,scope,model_n,event_genes,connectors,total_nodes,cv_delta_r2,cv_objective,holdout_r2,holdout_delta_r2,holdout_delta_r2_excluding_selected_targets,bootstrap_lower,bootstrap_upper,event_gene_count,random_control_n,random_median,random_q05,random_q95,random_control_percentile,random_empirical_upper_p
20260917,unrestricted,greedy_ppi,kidney_lineage,24,FBN1|LAMC2|THBS1,COL7A1|DCN,5,0.004790096841385438,0.0035400968413854374,-0.023922838841889726,0.007516698636421459,0.007702828853146659,0.002350114845956452,0.01192861239157876,3,200,0.003879359645598157,-0.0025402081454202973,0.011122653493324126,,
20260917,unrestricted,greedy_ppi,rcc,20,FBN1|LAMC2|THBS1,COL7A1|DCN,5,0.004790096841385438,0.0035400968413854374,-0.03351106438578477,0.00593306330919674,0.006216909832655881,0.0001351610761817586,0.011117199199715365,3,200,0.003879359645598157,-0.0025402081454202973,0.011122653493324126,,
20260917,unrestricted,greedy_ppi,ccrcc,12,FBN1|LAMC2|THBS1,COL7A1|DCN,5,0.004790096841385438,0.0035400968413854374,-0.028315787649525914,0.011975702027338109,0.012096434918343224,0.003915248827612923,0.01877743734137076,3,200,0.003879359645598157,-0.0025402081454202973,0.011122653493324126,0.965,0.03980099502487562
20260917,unrestricted,beam_ppi,kidney_lineage,24,ATM|LAMA4|NMT2|SMARCA4|TP53,,5,0.005125090109388609,0.0038750901093886087,-0.016271539530236856,0.01516799794807433,0.011048429467600096,0.008753770410954674,0.02152812692808575,5,61,0.010957991794864785,0.001778809302117601,0.01622364061894399,,
20260917,unrestricted,beam_ppi,rcc,20,ATM|LAMA4|NMT2|SMARCA4|TP53,,5,0.005125090109388609,0.0038750901093886087,-0.024839647742355142,0.01460447995262637,0.010115578836831007,0.007251272643665112,0.021554770083114332,5,61,0.010957991794864785,0.001778809302117601,0.01622364061894399,,
20260917,unrestricted,beam_ppi,ccrcc,12,ATM|LAMA4|NMT2|SMARCA4|TP53,,5,0.005125090109388609,0.0038750901093886087,-0.02536267358124511,0.014928816095618913,0.011720573249346389,0.006677349325225569,0.023536565769199335,5,61,0.010957991794864785,0.001778809302117601,0.01622364061894399,0.8524590163934426,0.1774193548387097
20260917,tln1_seeded,frequency_ppi,kidney_lineage,24,TLN1,,1,0.0006855109097987988,0.00043551090979879875,-0.028719846345934164,0.0027196911323770223,0.002546127015033761,0.0009155982610196172,0.005068271829322362,1,1,0.003880697291189117,0.003880697291189117,0.003880697291189117,,
20260917,tln1_seeded,frequency_ppi,rcc,20,TLN1,,1,0.0006855109097987988,0.00043551090979879875,-0.03660230326842884,0.002841824426552675,0.0026432996908072326,0.0007132919390807458,0.005657680285016899,1,1,0.003880697291189117,0.003880697291189117,0.003880697291189117,,
20260917,tln1_seeded,frequency_ppi,ccrcc,12,TLN1,,1,0.0006855109097987988,0.00043551090979879875,-0.036410792385674906,0.003880697291189117,0.0036166460366791053,0.000740801208510484,0.00833833095097756,1,1,0.003880697291189117,0.003880697291189117,0.003880697291189117,1.0,
20260917,tln1_seeded,static_cv_ppi,kidney_lineage,24,AJUBA|CTNNA1|DSC3|LATS2|TLN1,CTNNB1|PKD1,7,0.004144623684490529,0.0023946236844905296,-0.02196040794753329,0.009479129530777897,0.008180079911863647,0.005218950459570945,0.014080436787922536,5,200,0.008050386400065057,0.003782373808468842,0.014849850034252394,,
20260917,tln1_seeded,static_cv_ppi,rcc,20,AJUBA|CTNNA1|DSC3|LATS2|TLN1,CTNNB1|PKD1,7,0.004144623684490529,0.0023946236844905296,-0.030053392160374504,0.009390735534607009,0.00795950917985766,0.004155184282382408,0.014978785453839013,5,200,0.008050386400065057,0.003782373808468842,0.014849850034252394,,
20260917,tln1_seeded,static_cv_ppi,ccrcc,12,AJUBA|CTNNA1|DSC3|LATS2|TLN1,CTNNB1|PKD1,7,0.004144623684490529,0.0023946236844905296,-0.027014213668945075,0.013277276007918948,0.011143443633411465,0.005432276820912048,0.021958405140551637,5,200,0.008050386400065057,0.003782373808468842,0.014849850034252394,0.915,0.08955223880597014
20260917,tln1_seeded,greedy_ppi,kidney_lineage,24,AJUBA|CTNNA1|DSC3|LATS2|TLN1,CTNNB1|PKD1,7,0.004144623684490529,0.0023946236844905296,-0.02196040794753329,0.009479129530777897,0.008180079911863647,0.005252583696556261,0.014048073763077196,5,200,0.008050386400065057,0.003782373808468842,0.014849850034252394,,
20260917,tln1_seeded,greedy_ppi,rcc,20,AJUBA|CTNNA1|DSC3|LATS2|TLN1,CTNNB1|PKD1,7,0.004144623684490529,0.0023946236844905296,-0.030053392160374504,0.009390735534607009,0.00795950917985766,0.004188172800695396,0.014710250817552338,5,200,0.008050386400065057,0.003782373808468842,0.014849850034252394,,
20260917,tln1_seeded,greedy_ppi,ccrcc,12,AJUBA|CTNNA1|DSC3|LATS2|TLN1,CTNNB1|PKD1,7,0.004144623684490529,0.0023946236844905296,-0.027014213668945075,0.013277276007918948,0.011143443633411465,0.005475959769274456,0.021607754469076923,5,200,0.008050386400065057,0.003782373808468842,0.014849850034252394,0.915,0.08955223880597014
20260917,tln1_seeded,beam_ppi,kidney_lineage,24,AJUBA|CTNNA1|DSC3|TLN1|TP53,CHUK|CTNNB1|PKD1,8,0.005699812440887319,0.003699812440887319,-0.012450655467659999,0.018988882010651187,0.01513445204205488,0.01270812032730932,0.025714255416608406,5,200,0.006839241833692333,0.0013492038413469478,0.012943445004580485,,
20260917,tln1_seeded,beam_ppi,rcc,20,AJUBA|CTNNA1|DSC3|TLN1|TP53,CHUK|CTNNB1|PKD1,8,0.005699812440887319,0.003699812440887319,-0.0213399068235276,0.018104220871453913,0.014209463324155847,0.010917516929757032,0.025600252054959183,5,200,0.006839241833692333,0.0013492038413469478,0.012943445004580485,,
20260917,tln1_seeded,beam_ppi,ccrcc,12,AJUBA|CTNNA1|DSC3|TLN1|TP53,CHUK|CTNNB1|PKD1,8,0.005699812440887319,0.003699812440887319,-0.021263879823891996,0.019027609852972027,0.015385150726524799,0.008585307628354057,0.029276177326849652,5,200,0.006839241833692333,0.0013492038413469478,0.012943445004580485,0.99,0.014925373134328358
20260918,unrestricted,frequency_ppi,kidney_lineage,24,DSP|DST,COL17A1,3,0.001952235348322469,0.001202235348322469,-0.02829820056231447,0.0031413369159967175,0.0031936494791557912,0.0012912943327261625,0.005208986051923174,2,200,0.002646234550870208,-0.0024203241324266766,0.00836279652298506,,
20260918,unrestricted,frequency_ppi,rcc,20,DSP|DST,COL17A1,3,0.001952235348322469,0.001202235348322469,-0.03581569981035981,0.003628427884621699,0.0036889729966278484,0.0012567120738370319,0.005910789693213081,2,200,0.002646234550870208,-0.0024203241324266766,0.00836279652298506,,
20260918,unrestricted,frequency_ppi,ccrcc,12,DSP|DST,COL17A1,3,0.001952235348322469,0.001202235348322469,-0.03577553630839092,0.004515953368473102,0.004629165280965797,0.000624810448402234,0.00835757736048438,2,200,0.002646234550870208,-0.0024203241324266766,0.00836279652298506,0.7,0.30845771144278605
20260918,unrestricted,static_cv_ppi,kidney_lineage,24,FBN1|LAMC2|THBS1,COL7A1|DCN,5,0.005030690312087234,0.0037806903120872334,-0.023922838841889726,0.007516698636421459,0.007702828853146659,0.002701701659925694,0.011936146621821266,3,200,0.003879359645598157,-0.0025402081454202973,0.011122653493324126,,
20260918,unrestricted,static_cv_ppi,rcc,20,FBN1|LAMC2|THBS1,COL7A1|DCN,5,0.005030690312087234,0.0037806903120872334,-0.03351106438578477,0.00593306330919674,0.006216909832655881,-0.00023874284855545828,0.011035973184688838,3,200,0.003879359645598157,-0.0025402081454202973,0.011122653493324126,,
20260918,unrestricted,static_cv_ppi,ccrcc,12,FBN1|LAMC2|THBS1,COL7A1|DCN,5,0.005030690312087234,0.0037806903120872334,-0.028315787649525914,0.011975702027338109,0.012096434918343224,0.004010253750928726,0.018900078235029927,3,200,0.003879359645598157,-0.0025402081454202973,0.011122653493324126,0.965,0.03980099502487562
20260918,unrestricted,greedy_ppi,kidney_lineage,24,FBN1|LAMC2|THBS1,COL7A1|DCN,5,0.005030690312087234,0.0037806903120872334,-0.023922838841889726,0.007516698636421459,0.007702828853146659,0.0025431165491400327,0.011960705874686861,3,200,0.003879359645598157,-0.0025402081454202973,0.011122653493324126,,
20260918,unrestricted,greedy_ppi,rcc,20,FBN1|LAMC2|THBS1,COL7A1|DCN,5,0.005030690312087234,0.0037806903120872334,-0.03351106438578477,0.00593306330919674,0.006216909832655881,-0.00015687129845993065,0.010916768261492857,3,200,0.003879359645598157,-0.0025402081454202973,0.011122653493324126,,
20260918,unrestricted,greedy_ppi,ccrcc,12,FBN1|LAMC2|THBS1,COL7A1|DCN,5,0.005030690312087234,0.0037806903120872334,-0.028315787649525914,0.011975702027338109,0.012096434918343224,0.003586077009150531,0.01845339171144544,3,200,0.003879359645598157,-0.0025402081454202973,0.011122653493324126,0.965,0.03980099502487562
20260918,unrestricted,beam_ppi,kidney_lineage,24,FBN1|LAMC2|THBS1,COL7A1|DCN,5,0.005030690312087234,0.0037806903120872334,-0.023922838841889726,0.007516698636421459,0.007702828853146659,0.0025779310618055133,0.012102158263273025,3,200,0.003879359645598157,-0.0025402081454202973,0.011122653493324126,,
20260918,unrestricted,beam_ppi,rcc,20,FBN1|LAMC2|THBS1,COL7A1|DCN,5,0.005030690312087234,0.0037806903120872334,-0.03351106438578477,0.00593306330919674,0.006216909832655881,-6.819050904549996e-05,0.011246122856649865,3,200,0.003879359645598157,-0.0025402081454202973,0.011122653493324126,,
20260918,unrestricted,beam_ppi,ccrcc,12,FBN1|LAMC2|THBS1,COL7A1|DCN,5,0.005030690312087234,0.0037806903120872334,-0.028315787649525914,0.011975702027338109,0.012096434918343224,0.003645872558989319,0.01848968671894313,3,200,0.003879359645598157,-0.0025402081454202973,0.011122653493324126,0.965,0.03980099502487562
20260918,tln1_seeded,frequency_ppi,kidney_lineage,24,TLN1,,1,0.0005003607596346001,0.00025036075963460005,-0.028719846345934164,0.0027196911323770223,0.002546127015033761,0.0009471739456830281,0.004941244784124794,1,1,0.003880697291189117,0.003880697291189117,0.003880697291189117,,
20260918,tln1_seeded,frequency_ppi,rcc,20,TLN1,,1,0.0005003607596346001,0.00025036075963460005,-0.03660230326842884,0.002841824426552675,0.0026432996908072326,0.0005686497372463372,0.005566580512057807,1,1,0.003880697291189117,0.003880697291189117,0.003880697291189117,,
20260918,tln1_seeded,frequency_ppi,ccrcc,12,TLN1,,1,0.0005003607596346001,0.00025036075963460005,-0.036410792385674906,0.003880697291189117,0.0036166460366791053,0.0006969551057095908,0.008506434856187331,1,1,0.003880697291189117,0.003880697291189117,0.003880697291189117,1.0,
20260918,tln1_seeded,static_cv_ppi,kidney_lineage,24,AJUBA|CTNNA1|DSP|LATS2|TLN1,JUP|PKD1,7,0.003674760389594565,0.001924760389594565,-0.020749773392939597,0.01068976408537159,0.00940488072525203,0.006658752333406837,0.015085255969391878,5,200,0.008050386400065057,0.003782373808468842,0.014849850034252394,,
20260918,tln1_seeded,static_cv_ppi,rcc,20,AJUBA|CTNNA1|DSP|LATS2|TLN1,JUP|PKD1,7,0.003674760389594565,0.001924760389594565,-0.02872407812537392,0.010720049569607593,0.009236440082299069,0.0060080330417558074,0.016020925224540086,5,200,0.008050386400065057,0.003782373808468842,0.014849850034252394,,
20260918,tln1_seeded,static_cv_ppi,ccrcc,12,AJUBA|CTNNA1|DSP|LATS2|TLN1,JUP|PKD1,7,0.003674760389594565,0.001924760389594565,-0.025456890594563575,0.014834599082300448,0.01266013079277406,0.007151543889528531,0.02334750801777747,5,200,0.008050386400065057,0.003782373808468842,0.014849850034252394,0.95,0.05970149253731343
20260918,tln1_seeded,greedy_ppi,kidney_lineage,24,TLN1,,1,0.0005003607596346001,0.00025036075963460005,-0.028719846345934164,0.0027196911323770223,0.002546127015033761,0.0009066646153719064,0.004878608310943184,1,1,0.003880697291189117,0.003880697291189117,0.003880697291189117,,
20260918,tln1_seeded,greedy_ppi,rcc,20,TLN1,,1,0.0005003607596346001,0.00025036075963460005,-0.03660230326842884,0.002841824426552675,0.0026432996908072326,0.0006675956561084586,0.005538589618024159,1,1,0.003880697291189117,0.003880697291189117,0.003880697291189117,,
20260918,tln1_seeded,greedy_ppi,ccrcc,12,TLN1,,1,0.0005003607596346001,0.00025036075963460005,-0.036410792385674906,0.003880697291189117,0.0036166460366791053,0.0007193052844627882,0.008233515715234986,1,1,0.003880697291189117,0.003880697291189117,0.003880697291189117,1.0,
20260918,tln1_seeded,beam_ppi,kidney_lineage,24,AJUBA|CTNNA1|DSP|LATS2|TLN1,JUP|PKD1,7,0.003674760389594565,0.001924760389594565,-0.020749773392939597,0.01068976408537159,0.00940488072525203,0.006440901708640457,0.014939881521072796,5,200,0.008050386400065057,0.003782373808468842,0.014849850034252394,,
20260918,tln1_seeded,beam_ppi,rcc,20,AJUBA|CTNNA1|DSP|LATS2|TLN1,JUP|PKD1,7,0.003674760389594565,0.001924760389594565,-0.02872407812537392,0.010720049569607593,0.009236440082299069,0.005800335238291719,0.01595033258740922,5,200,0.008050386400065057,0.003782373808468842,0.014849850034252394,,
20260918,tln1_seeded,beam_ppi,ccrcc,12,AJUBA|CTNNA1|DSP|LATS2|TLN1,JUP|PKD1,7,0.003674760389594565,0.001924760389594565,-0.025456890594563575,0.014834599082300448,0.01266013079277406,0.007262553989491852,0.023317970665034365,5,200,0.008050386400065057,0.003782373808468842,0.014849850034252394,0.95,0.05970149253731343
20260919,unrestricted,frequency_ppi,kidney_lineage,24,DSP|DST,COL17A1,3,0.0019226063258855654,0.0011726063258855654,-0.02829820056231447,0.0031413369159967175,0.0031936494791557912,0.001204839619715394,0.005202452075168596,2,200,0.002646234550870208,-0.0024203241324266766,0.00836279652298506,,
