alpha,model,comparison,scope,model_n,r2,delta_r2,bootstrap_lower,bootstrap_upper
100000.0,background,background,kidney_lineage,24,0.0010633136056762416,0.0,0.0,0.0
100000.0,background,background,rcc,20,0.0012267572349778932,0.0,0.0,0.0
100000.0,background,background,ccrcc,12,0.0014182426913967872,0.0,0.0,0.0
100000.0,multiomics,background,pan_cancer,883,0.008340093377221636,0.0077022355994530445,0.007150486987414656,0.008231700032714185
100000.0,multiomics,background,non_kidney,859,0.00840325561550248,0.0077782159264288,0.007227843943944844,0.008359697133691732
100000.0,multiomics,background,kidney_lineage,24,0.006243623067202053,0.005180309461525812,0.002551394413003878,0.008111963477090789
100000.0,multiomics,background,rcc,20,0.006338151917664181,0.005111394682686288,0.00254093148155755,0.007925408015768373
100000.0,multiomics,background,ccrcc,12,0.007460520488202671,0.006042277796805884,0.0025014043772520226,0.010190997389581557
100000.0,context_interactions,multiomics,pan_cancer,883,0.006767660460851421,-0.0015724329163702144,-0.0026725981027922972,-0.0006875012130490308
100000.0,context_interactions,multiomics,non_kidney,859,0.007035409811758986,-0.0013678458037434948,-0.002303726087308982,-0.0005948608295631102
100000.0,context_interactions,multiomics,kidney_lineage,24,-0.002119430623662266,-0.00836305369086432,-0.0283166796624044,0.0070479873861933676
100000.0,context_interactions,multiomics,rcc,20,-0.001412988093796752,-0.007751140011460933,-0.0324427073007344,0.010360610177575731
100000.0,context_interactions,multiomics,ccrcc,12,0.003521603966594178,-0.003938916521608493,-0.03253467197343963,0.01235179597007652
100000.0,targetwise_multiomics,background,pan_cancer,883,0.000838992016614748,0.00020113423884615678,0.00018476584668958716,0.00021605564679065445
100000.0,targetwise_multiomics,background,non_kidney,859,0.0008264102485729952,0.00020137055949931426,0.00018572549982274849,0.0002172853044305501
100000.0,targetwise_multiomics,background,kidney_lineage,24,0.00125660392944682,0.00019329032377057853,0.00012513594466356342,0.000281229051293749
100000.0,targetwise_multiomics,background,rcc,20,0.0013925848947760056,0.00016582765979811231,0.00011468930512011915,0.00022126800703601367
100000.0,targetwise_multiomics,background,ccrcc,12,0.0016059962035278597,0.0001877535121310725,0.0001206489819570262,0.0002706843619901548
100000.0,targetwise_context,targetwise_multiomics,pan_cancer,883,0.0008956493622896966,5.665734567494862e-05,3.6833990789284036e-05,7.779438755027884e-05
100000.0,targetwise_context,targetwise_multiomics,non_kidney,859,0.0008271111187750924,7.008702020971924e-07,-1.2212433962769365e-05,1.2053292059979247e-05
100000.0,targetwise_context,targetwise_multiomics,kidney_lineage,24,0.003170559127050443,0.0019139551976036229,0.0013604808279081598,0.0025804403777503256
100000.0,targetwise_context,targetwise_multiomics,rcc,20,0.003667881516668192,0.0022752966218921866,0.001689574739293563,0.0029968826355208956
100000.0,targetwise_context,targetwise_multiomics,ccrcc,12,0.004311880002279556,0.002705883798751696,0.001898197726408486,0.0039019307027583655
