heldout_lineage,scope,inner_fold,alpha,target_n,maximum_kkt,maximum_relative_bound,maximum_iterations,maximum_working_set_passes,maximum_active_feature_n
Lymphoid,inner,1,0.1,1204,9.95862665630065e-07,7.420152206977277e-10,1950,6,553
Lymphoid,inner,1,0.2,1204,9.101778189468668e-07,1.5438784365452907e-10,575,4,170
Lymphoid,inner,1,0.5,1204,2.2128961951750625e-07,8.761119823949189e-13,100,1,41
Lymphoid,inner,1,1.0,1204,0.0,0.0,0,0,0
Lymphoid,inner,2,0.1,1204,8.546533658143618e-07,7.978471805708917e-10,1575,6,505
Lymphoid,inner,2,0.2,1204,9.447914346844e-07,2.173702040397184e-10,475,4,148
Lymphoid,inner,2,0.5,1204,8.787928182929505e-07,7.038640398031228e-12,100,1,40
Lymphoid,inner,2,1.0,1204,0.0,0.0,0,0,0
Lymphoid,inner,3,0.1,1204,9.834897987046065e-07,7.251033999287896e-10,1700,6,531
Lymphoid,inner,3,0.2,1204,9.234446269046348e-07,2.832874041642105e-10,450,3,162
Lymphoid,inner,3,0.5,1204,7.419520680895797e-07,6.074331915435246e-12,75,1,33
Lymphoid,inner,3,1.0,1204,0.0,0.0,0,0,0
Lymphoid,inner,4,0.1,1204,9.982907502661953e-07,5.445299199026744e-10,1650,6,526
Lymphoid,inner,4,0.2,1204,9.69977638737296e-07,3.063553857261267e-10,550,4,165
Lymphoid,inner,4,0.5,1204,3.012146702063845e-07,2.856997576625693e-12,100,1,37
Lymphoid,inner,4,1.0,1204,0.0,0.0,0,0,0
Lymphoid,inner,5,0.1,1204,9.990404568754885e-07,1.033322781940652e-09,1625,7,512
Lymphoid,inner,5,0.2,1204,9.89522678324084e-07,1.672289229298696e-10,375,3,155
Lymphoid,inner,5,0.5,1204,9.652390577652437e-07,5.633322433749488e-12,75,1,32
Lymphoid,inner,5,1.0,1204,0.0,0.0,0,0,0
Lymphoid,outer,0,0.1,1204,9.306359258359764e-07,4.990432617641666e-10,1650,6,482
Myeloid,inner,1,0.1,1204,9.615722265168825e-07,9.212373883874158e-10,1575,6,489
Myeloid,inner,1,0.2,1204,9.495160818301374e-07,1.397466149781268e-10,525,3,186
Myeloid,inner,1,0.5,1204,4.3304179431213896e-07,3.014422908591369e-12,75,1,38
Myeloid,inner,1,1.0,1204,0.0,0.0,0,0,0
Myeloid,inner,2,0.1,1204,9.672859434817216e-07,7.912660891059084e-10,1725,5,466
Myeloid,inner,2,0.2,1204,9.012577115441456e-07,1.0429537293502967e-10,425,3,154
Myeloid,inner,2,0.5,1204,7.090561729983236e-07,1.1807792957893933e-11,100,1,42
Myeloid,inner,2,1.0,1204,0.0,0.0,0,0,0
Myeloid,inner,3,0.1,1204,9.74636908596116e-07,7.605668132269682e-10,1675,5,507
Myeloid,inner,3,0.2,1204,9.65059549010161e-07,2.48385057152014e-10,500,4,162
Myeloid,inner,3,0.5,1204,8.317015496306368e-07,1.284755066063067e-11,75,1,33
Myeloid,inner,3,1.0,1204,0.0,0.0,0,0,0
Myeloid,inner,4,0.1,1204,9.959205237788926e-07,8.532497373631689e-10,1725,6,526
Myeloid,inner,4,0.2,1204,9.924161827462585e-07,5.492153404895559e-10,525,3,182
Myeloid,inner,4,0.5,1204,8.074284768566642e-07,1.2815996737525839e-11,75,1,32
Myeloid,inner,4,1.0,1204,0.0,0.0,0,0,0
Myeloid,inner,5,0.1,1204,9.956669314165056e-07,7.482973342369409e-10,1925,7,518
Myeloid,inner,5,0.2,1204,9.574007786838923e-07,1.0819934396288934e-10,525,3,203
Myeloid,inner,5,0.5,1204,3.215065141337625e-07,1.8951216151045117e-12,75,1,34
Myeloid,inner,5,1.0,1204,0.0,0.0,0,0,0
Myeloid,outer,0,0.1,1204,9.816075257698675e-07,7.880407952269505e-10,1725,6,459
Ovary/Fallopian Tube,inner,1,0.1,1204,9.795483116997739e-07,6.406797927809315e-10,2175,6,526
Ovary/Fallopian Tube,inner,1,0.2,1204,9.837155805214604e-07,1.2776563055255498e-10,625,4,198
Ovary/Fallopian Tube,inner,1,0.5,1204,8.451162924472122e-07,2.9091516020544235e-11,75,1,37
Ovary/Fallopian Tube,inner,1,1.0,1204,0.0,0.0,0,0,0
Ovary/Fallopian Tube,inner,2,0.1,1204,9.90739077673386e-07,8.49603466869215e-10,1575,6,508
Ovary/Fallopian Tube,inner,2,0.2,1204,9.491205254369417e-07,2.2585751688502005e-10,550,3,154
Ovary/Fallopian Tube,inner,2,0.5,1204,6.255760812146072e-07,1.90063079851851e-11,100,1,40
Ovary/Fallopian Tube,inner,2,1.0,1204,0.0,0.0,0,0,0
Ovary/Fallopian Tube,inner,3,0.1,1204,9.84352098651331e-07,6.838110491886984e-10,1575,6,486
Ovary/Fallopian Tube,inner,3,0.2,1204,9.762642191601945e-07,1.5765589850289347e-10,500,4,159
Ovary/Fallopian Tube,inner,3,0.5,1204,8.421469440134111e-07,1.7832123269869932e-11,75,1,34
Ovary/Fallopian Tube,inner,3,1.0,1204,0.0,0.0,0,0,0
Ovary/Fallopian Tube,inner,4,0.1,1204,9.996519517510571e-07,6.727626159323985e-10,2125,7,558
